Source,Domain,RSS,Full Name,Short Name,Last Link,Image
CNN,Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,CNN - Top Stories,CNN_TS,http://rss.cnn.com/~r/rss/cnn_topstories/~3/SM4oUPEkDJY/index.html,https://stogaccytc001.blob.core.windows.net/images/CNN.png
CNN,World,http://rss.cnn.com/rss/cnn_world.rss,CNN - World,CNN_W,http://rss.cnn.com/~r/rss/cnn_world/~3/eyTleEPGjR8/index.html,https://stogaccytc001.blob.core.windows.net/images/CNN.png
CNN,Business,http://rss.cnn.com/rss/cnn_us.rss,CNN - Business,CNN_BS,http://rss.cnn.com/~r/rss/cnn_us/~3/uykAVZqYBS4/index.html,https://stogaccytc001.blob.core.windows.net/images/CNN.png
CNN,Technology,http://rss.cnn.com/rss/cnn_tech.rss,CNN - Technology,CNN_TE,http://rss.cnn.com/~r/rss/cnn_tech/~3/sTnscS1_h6E/index.html,https://stogaccytc001.blob.core.windows.net/images/CNN.png
CNN,Entertainment,http://rss.cnn.com/rss/cnn_showbiz.rss,CNN - Entertainment,CNN_EN,http://rss.cnn.com/~r/rss/cnn_showbiz/~3/gCL9DYp_Xz4/index.html,https://stogaccytc001.blob.core.windows.net/images/CNN.png
New York Times,Top Stories,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,NYT - Top Stories,NYT_TS,https://www.nytimes.com/2019/12/19/us/politics/impeachment-trump-senate-trial.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,NYT - World,NYT_W,https://www.nytimes.com/2019/12/19/world/asia/indonesia-dioxin-plastic-tofu.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,Business,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,NYT - Business,NYT_BS,https://www.nytimes.com/2019/12/19/technology/amazon-sellers.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,NYT - Technology,NYT_TE,https://www.nytimes.com/2019/12/19/technology/amazon-sellers.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,Sports,https://rss.nytimes.com/services/xml/rss/nyt/Sports.xml,NYT - Sports,NYT_SP,https://www.nytimes.com/2019/12/19/sports/football/nfl-100-violence-american-culture.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,Health,https://www.nytimes.com/services/xml/rss/nyt/Health.xml,NYT - Health,NYT_HL,https://www.nytimes.com/2019/12/19/health/obamacare-court.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
New York Times,Science,https://rss.nytimes.com/services/xml/rss/nyt/Science.xml,NYT - Science,NYT_SC,https://www.nytimes.com/2019/12/18/science/scientists-holiday-work.html?emc=rss&partner=rss,https://stogaccytc001.blob.core.windows.net/images/NYT.jpg
Washington Post,Politics,http://feeds.washingtonpost.com/rss/politics?tid=lk_inline_manual_2,WP - Politics,WP_P,https://www.washingtonpost.com/national-security/former-white-house-officials-say-they-feared-putin-influenced-the-presidents-views-on-ukraine-and-2016-campaign/2019/12/19/af0fdbf6-20e9-11ea-bed5-880264cc91a9_story.html,https://stogaccytc001.blob.core.windows.net/images/WP.png
Washington Post,Opinions,http://feeds.washingtonpost.com/rss/opinions?tid=lk_inline_manual_4,WP - Opinions,WP_O,https://www.washingtonpost.com/opinions/george-conway-republican-senators-run-the-risk-of-being-shamed-by-trump-himself/2019/12/18/1fb19698-21de-11ea-a153-dce4b94e4249_story.html,https://stogaccytc001.blob.core.windows.net/images/WP.png
Washington Post,World,http://feeds.washingtonpost.com/rss/world?tid=lk_inline_manual_13,WP - World,WP_W,https://www.washingtonpost.com/world/europe/in-queens-speech-britains-boris-johnson-gives-first-hints-of-how-he-may-govern/2019/12/19/21b05cce-2114-11ea-b034-de7dc2b5199b_story.html,https://stogaccytc001.blob.core.windows.net/images/WP.png
Washington Post,Business,http://feeds.washingtonpost.com/rss/business?tid=lk_inline_manual_14,WP - Buisness,WP_BS,https://www.washingtonpost.com/business/2019/12/19/drinking-with-no-consequences-this-was-year-hangover-hack/,https://stogaccytc001.blob.core.windows.net/images/WP.png
Washington Post,Entertainment,http://feeds.washingtonpost.com/rss/entertainment?tid=lk_inline_manual_18,WP - Entertainment,WP_EN,https://www.washingtonpost.com/entertainment/music/common-chance-the-rapper-headlining-chicagos-all-star-game/2019/12/19/8e948090-22d6-11ea-b034-de7dc2b5199b_story.html,https://stogaccytc001.blob.core.windows.net/images/WP.png
NPR,Top Stories,https://www.npr.org/rss/rss.php?id=1001,NPR - Top Stories,NPR_TS,https://www.npr.org/2019/12/19/790043412/canadas-supreme-court-grants-citizenship-to-son-of-russian-spies?utm_medium=RSS&utm_campaign=news,https://stogaccytc001.blob.core.windows.net/images/NPR.png
USA Today,Sports,http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories,USAT - Sports,USAT_SP,http://rssfeeds.usatoday.com/~/543484380/0/usatodaycomsports-topstories~Sports-figures-Star-Wars/,https://stogaccytc001.blob.core.windows.net/images/USA Today.jpg
BBC,Top Stories,http://feeds.bbci.co.uk/news/rss.xml,BBC - Top Stories,BBC_TS,https://www.bbc.co.uk/news/uk-politics-50854323,https://stogaccytc001.blob.core.windows.net/images/BBC.png
BBC,World,http://feeds.bbci.co.uk/news/world/rss.xml,BBC - World,BBC_W,https://www.bbc.co.uk/news/world-australia-50850386,https://stogaccytc001.blob.core.windows.net/images/BBC.png
BBC,Business,http://feeds.bbci.co.uk/news/business/rss.xml,BBC - Buisness,BBC_BS,https://www.bbc.co.uk/news/business-50861129,https://stogaccytc001.blob.core.windows.net/images/BBC.png
BBC,Health,http://feeds.bbci.co.uk/news/health/rss.xml,BBC - Health,BBC_HL,https://www.bbc.co.uk/news/health-50836442,https://stogaccytc001.blob.core.windows.net/images/BBC.png
BBC,Science,http://feeds.bbci.co.uk/news/science_and_environment/rss.xml,BBC - Science,BBC_SC,https://www.bbc.co.uk/news/science-environment-50855395,https://stogaccytc001.blob.core.windows.net/images/BBC.png
